,index,l,dn,n0,neta,pitch
0,20869,1387.9780330740555,0.0007772017637746507,1.4415,0.862908058545045,0.5358201555972268
1,27301,1193.009462872334,0.0005111345400914889,1.4415,0.8939454687760655,0.5359634895769644
2,37088,1257.4008222431582,0.0009825063005361192,1.4415,0.8052046663400843,0.536280994560554
3,55541,1610.234893834494,0.0009197676973418487,1.4415,0.8828118967265741,0.5361453751472913
4,1392,1142.8914585698324,0.0005879018056126462,1.4415,0.9334358595027548,0.5362168266576475
5,28283,1821.6334834693535,0.0008520924158529223,1.4415,0.7761770289140415,0.5356780916120685
6,29442,1453.1852182615116,0.0007481490431279871,1.4415,0.7648530508300072,0.5363077029295387
7,54722,1498.7384099896103,0.0005437337352862695,1.4415,0.8425610318999195,0.5361812002765954
8,7468,1540.3951741399942,0.000596567518108682,1.4415,0.7745816907963823,0.5357720558035147
9,9643,1837.176982731754,0.0008101768288285114,1.4415,0.9079949978343047,0.5357422997895716
10,17993,1553.043887124411,0.0005422408537805257,1.4415,0.7591324265000763,0.5354625649376721
11,45163,1896.173880411599,0.0009661109119079882,1.4415,0.8882971517395087,0.5363163880150807
12,28510,1307.94617697271,0.0009796383374462364,1.4415,0.9259955019076314,0.5350906689426091
13,40708,1350.6205964658798,0.0006668600057791135,1.4415,0.9487038065424801,0.5361590506672995
14,12205,1520.0210095875323,0.000786522523692992,1.4415,0.7545843112869349,0.5361729452943427
15,9772,1610.055910611657,0.0007778168837636844,1.4415,0.8411415895052898,0.5353484487221494
16,44982,1000.8205275285185,0.0005155308716844921,1.4415,0.8523406555599378,0.5358817082452021
17,42731,1990.50606733329,0.0005096176862549927,1.4415,0.7524683641586343,0.5362948576201978
18,46392,1637.9958214874732,0.0007601432123166337,1.4415,0.8348510535621261,0.5352351920835775
19,32649,1836.40757066014,0.0004166224870629646,1.4415,0.8545790196504157,0.5362208595559453
20,13203,1088.0176259753518,0.0008519623198832015,1.4415,0.898196109444086,0.5364764771289596
21,53735,1186.8159432658802,0.0007915774674115291,1.4415,0.786201742559121,0.5356115344898543
22,27875,1576.7415417356465,0.0009595039378421303,1.4415,0.8998843878815039,0.5356790318762982
23,43750,1858.3542849114556,0.0009636485754062486,1.4415,0.7724598299455557,0.5357796762190195
24,27046,1128.008498054773,0.0005817805749514208,1.4415,0.9092746947693263,0.5360307422060274
25,7144,1172.7711303998465,0.0009064732570542887,1.4415,0.8875022204185975,0.5357222439940859
26,33483,1492.50295094309,0.0007510183783602143,1.4415,0.7885681378294317,0.5352752652908336
27,19197,1401.0319766630926,0.00040772034680397224,1.4415,0.8764108336625753,0.5355511389199656
28,47239,1162.847445259363,0.0008808056189956138,1.4415,0.9190029743396569,0.5358796025386722
29,35570,1480.2990680927783,0.0007379730833465952,1.4415,0.7629242687124175,0.5356997935870712
30,32683,1466.7066145385197,0.0004726568571894812,1.4415,0.9168527936588036,0.5355977479966387
31,59831,1063.4526313317056,0.000984567867234654,1.4415,0.9050414096040884,0.5353315669562015
32,48252,1460.1808234137882,0.000978216708239936,1.4415,0.8980137545506706,0.5352785187657859
33,23682,1259.220684489785,0.0004247191426133141,1.4415,0.7548065833813353,0.5352037695268917
34,29092,1487.873612632644,0.00041180786062981696,1.4415,0.8553115946017388,0.5351030145966242
35,57233,1881.9486974273973,0.0008759959272611105,1.4415,0.8938934950734373,0.5362737848485628
36,12085,1866.7727666338792,0.0005294595873655273,1.4415,0.9329550062942162,0.5353017256746199
37,10100,1524.8869549332644,0.000991615001757847,1.4415,0.9396271273556804,0.5363284490584529
38,25351,1673.6713987102303,0.0007137801974637489,1.4415,0.9058685351526262,0.536080685664131
39,47839,1466.1827879156072,0.0006654402290449928,1.4415,0.9256215601620242,0.5354125098082213
40,15427,1661.6170016092465,0.0004743193236356226,1.4415,0.7639959447377306,0.5354390279009659
41,19264,1873.659304839924,0.0007817825056129159,1.4415,0.8035012180137464,0.5355700094684703
42,55284,1302.0383928958204,0.0009143594757351871,1.4415,0.8162782742881551,0.5351102649810765
43,42362,1563.9432193191174,0.0004786988778837072,1.4415,0.8244925904855647,0.5355572749702309
44,22032,1130.7945504100105,0.000991076865198243,1.4415,0.8466708305579282,0.5353007823060589
45,34264,1159.545324027754,0.0009113206015669627,1.4415,0.93568362915847,0.5356874864581481
46,57607,1322.3801055463869,0.0009777279045630827,1.4415,0.9210436674779812,0.5350347002128235
47,12215,1843.9817836895863,0.0004520859006257213,1.4415,0.8322173227365147,0.5356040895790609
48,32305,1369.1409023808344,0.0007067733843433223,1.4415,0.8664227910684725,0.5351307303798865
49,25788,1198.1338438450512,0.0005286162534526458,1.4415,0.7781388535891302,0.5352282069352561
